Town,Latitude,Longitude,Distance
Kinston,35.2626635,-77.5816353,91.54470954216458
Ayden,35.4726626,-77.4155203,91.57283776280418
Pilot Mountain,36.3401384,-80.4742242,91.62514547267988
Spencer,35.6920144,-80.4347596,91.88543142798837
East Spencer,35.6818059,-80.4322801,91.96373763826446
Norwood,35.2195898,-80.1189477,91.97151775956478
Kelford,36.1796007,-77.2235757,92.18780946563956
Kenansville,34.9623883,-77.9622069,92.22516148317806
Robersonville,35.8251589,-77.2491298,92.3382616247386
East Bend,36.216528,-80.512558,92.52720848130126
Tar Heel,34.7331708,-78.7904075,92.74961729134736
Garland,34.785863,-78.39528950755911,92.9086542399741
Grifton,35.3978455,-77.43257498505285,93.2349703661457
Dobbins Heights,34.9048772,-79.6922771,93.2537663582188
Hamilton,35.9446027,-77.2096844,93.27961843161596
Magnolia,34.8965563,-78.0541545,93.40048928848825
Rockwell,35.5512508,-80.4064485,93.74757499455488
Woodland,36.3315434,-77.2127436,94.0832557814054
Granite Quarry,35.6123617,-80.4467263,94.29248100636036
Salisbury,35.6709727,-80.4742261,94.4387047047586
Hamlet,34.8848533,-79.6942758,94.5108498041734
Pink Hill,35.0551639,-77.7463653,94.59059738526062
Lewiston Woodville,36.1229347,-77.1766291,94.62906462762469
Conway,36.4370974,-77.2288563,94.77918250959424
Simpson,35.5751619,-77.278573,95.65757758204394
Faith,35.587084,-80.4628385,95.75773950999331
Mocksville,35.8940236,-80.5617846,95.80757823854788
Laurinburg,34.7740495,-79.4628248,95.9184356462422
Everetts,35.8348814,-77.1735714,96.37745290935688
Maxton,34.7351615,-79.3489317,96.42927175498448
Cooleemee,35.8104164,-80.5558942,96.4606976783089
Ansonville,35.1045943,-80.1092259,96.89717946456732
Pembroke,34.6801627,-79.1950373,98.06888637639769
Dublin,34.6568361,-78.726407,98.23181361352434
Severn,36.5151521,-77.1896894,98.36354018367112
Rose Hill,34.8282235,-78.0230417,98.37842005639632
Aulander,36.2296005,-77.1141282,98.56945693644464
Lilesville,34.9676535,-79.9845032,99.08259680550547
Mount Pleasant,35.399308,-80.4358963,99.80576910280296
Bear Grass,35.7662709,-77.1274582,99.87267489855634
Dover,35.216274,-77.436907,99.98566368897066
Gibson,34.7590477,-79.6106104,100.08928637860969
Harrells,34.727551000000005,-78.20144638710032,100.33165947300334
Yadkinville,36.1345807,-80.6595079,100.37408180579702
Grimesland,35.5634956,-77.1921806,100.48199165866798
Beulaville,34.9237763,-77.7738667,100.59123415343758
Red Cross,35.2673659,-80.3556188,100.64769349829298
Lumberton,34.6183433,-79.0083993,100.88143813362656
Elizabethtown,34.6293372,-78.6052899,100.894077432463
Oakboro,35.2257007,-80.3289521,101.06125379163474
White Lake,34.640449,-78.4838952,101.3746592671152
Mount Airy,36.4993297,-80.6071609,101.40998831854736
Greenevers,34.8223896,-77.9269273,101.4565178698244
Murfreesboro,36.4423754,-77.0985753,101.90411081571742
Teachey,34.7682241,-78.0080407,102.42357495324022
Wadesboro,34.9681767,-80.07674,102.43867382537536
China Grove,35.569306,-80.5817318,102.45293025239886
Williamston,35.8546039,-77.0555114,102.67712245817764
Boonville,36.2326362,-80.7081209,103.5085799298829
Locust,35.272671450000004,-80.43557136558476,104.22233051441282
Cleveland,35.7331953,-80.6770111,104.26319134560836
Landis,35.5456947,-80.6108998,104.5662896526466
Wallace,34.735724,-77.9952628,104.74383103785534
Raynham,34.5766268,-79.1897486,105.03562998044592
Morven,34.8640437,-80.0011724,105.28697524794912
Polkton,35.0076546,-80.2008947,105.28719570128624
Stanfield,35.2334772,-80.4270094,105.30079366195828
Hertford,36.3560545,-77.0115135,105.43044549111175
Dobson,36.3956891,-80.722567,105.95370998376386
Bladenboro,34.5386768,-78.7875887,106.15042950925069
Ahoskie,36.2868223,-76.9846808,106.1957577911658
McDonald,34.5541552,-79.175405,106.42610016471586
Cove City,35.1873837,-77.3207917,106.46328324059722
Chocowinity,35.5125955,-77.1009232,106.55347441083276
Kannapolis,35.4874708,-80.621438,106.61917885062844
Concord,35.4094178,-80.5800049,106.7223617050884
Harmony,35.9556911,-80.7717346,107.02299532823284
McFarlan,34.8123776,-79.9758956,107.31194527179288
Windsor,35.9984925,-76.9460641,107.6978443177157
Como,36.5015414,-77.0094074,107.73351464014398
Askewville,36.1098801,-76.9399544,107.85126260805198
Peachland,34.993766,-80.2645069,108.53655941787171
Powellsville,36.225712,-76.9330114,108.6210167391824
Rowland,34.5365518,-79.2914306,108.87799072615137
Midland,35.2273656,-80.5006219,109.00634011130754
Washington Park,35.532663,-77.0324509,109.64929403824064
