,Town,Latitude,Longitude,Distance
448,Southern Pines,35.1740471,-79.3922539,68.92343966369363
449,Southern Shores,36.1390533,-75.7315719,175.46108569681675
450,Southport,33.921563,-78.0202677,156.15702772526072
451,Sparta,36.5055712,-81.1207497,129.22564258186054
452,Speed,35.9689505,-77.4436379,80.06190438828148
453,Spencer,35.6920144,-80.4347596,91.88543142798837
454,Spencer Mountain,35.306903500000004,-81.11239437290715,136.99563391764224
455,Spindale,35.3601212,-81.929271,179.1229854634559
456,Spring Hope,35.9451536,-78.1119345,43.25763334305453
457,Spring Lake,35.1679396,-78.9728056,62.961346454242175
458,Spruce Pine,35.9147787,-82.066411,179.60341731493776
459,St. Helena,34.5177355,-77.91838104660317,120.12252410928966
460,St. James,33.9293402,-78.1163822,154.0521157715992
461,St. Pauls,34.8070226,-78.9707787,87.75423217600974
462,Staley,35.7959711,-79.551412,42.99689452151222
463,Stallings,35.1083615,-80.66355902160382,121.22496792829577
464,Stanfield,35.2334772,-80.4270094,105.30079366195828
465,Stanley,35.3590256,-81.0970214,134.80115834198068
466,Stantonsburg,35.6068259,-77.8233139,66.95561881230633
467,Star,35.4020838,-79.7842049,69.45591331451817
468,Statesville,35.7826363,-80.8872959,115.09570472016807
469,Stedman,35.0134999,-78.6939063,73.96987246094233
470,Stem,36.199867,-78.7222261,11.710232006120632
471,Stokesdale,36.2372048,-79.9793529,63.17368741236076
472,Stoneville,36.4582662,-79.93221213276846,65.02966360215734
473,Stonewall,35.1373893,-76.7477081,135.76214733143115
474,Stovall,36.4481986,-78.5702786,30.480812455665003
475,Sugar Mountain,36.124571,-81.8756682,168.37735141428763
476,Summerfield,36.2087468,-79.9047583,58.74686311396526
477,Sunset Beach,33.880728,-78.512231,152.73677919882945
478,Surf City,34.46505775,-77.57412315290213,133.007023300161
479,Swansboro,34.6896728,-77.1232174,137.25266616683516
480,Swepsonville,36.0212488,-79.3614076,27.954413454482413
481,Sylva,35.3737111,-83.2259803,249.7905035947825
482,Salzburg,36.0604893,-78.8856423,1.5525644052358787
483,Tabor City,34.1487804,-78.8766916,132.93168022320322
