Town,Latitude,Longitude,Distance,Manhattan_Distance
Grifton,35.3978455,-77.43257499,93.23497037,2.113552815
Dobbins Heights,34.9048772,-79.6922771,93.25376636,1.9975904
Hamilton,35.9446027,-77.2096844,93.27961843,1.7896862
Magnolia,34.8965563,-78.0541545,93.40048929,1.9932625
Rockwell,35.5512508,-80.4064485,93.74757499,2.0653882
Woodland,36.3315434,-77.2127436,94.08325578,1.9086093
Granite Quarry,35.6123617,-80.4467263,94.29248101,2.0445551
Salisbury,35.6709727,-80.4742261,94.4387047,2.0134439
Hamlet,34.8848533,-79.6942758,94.5108498,2.019613
Pink Hill,35.0551639,-77.7463653,94.59059739,2.1424441
Lewiston Woodville,36.1229347,-77.1766291,94.62906463,1.7361151
Conway,36.4370974,-77.2288563,94.77918251,1.9980506
Simpson,35.5751619,-77.278573,95.65757758,2.0902384
Faith,35.587084,-80.4628385,95.75773951,2.085945
Mocksville,35.8940236,-80.5617846,95.80757824,1.8779515
Laurinburg,34.7740495,-79.4628248,95.91843565,1.8989658
Everetts,35.8348814,-77.1735714,96.37745291,1.9355205
Maxton,34.7351615,-79.3489317,96.42927175,1.8239607
Cooleemee,35.8104164,-80.5558942,96.46069768,1.9556683
Ansonville,35.1045943,-80.1092259,96.89717946,2.2148221
Pembroke,34.6801627,-79.1950373,98.06888638,1.7250651
Dublin,34.6568361,-78.726407,98.23181361,1.5607302
Severn,36.5151521,-77.1896894,98.36354018,2.1152722
Rose Hill,34.8282235,-78.0230417,98.37842006,2.0927081
Aulander,36.2296005,-77.1141282,98.56945694,1.9052818
Lilesville,34.9676535,-79.9845032,99.08259681,2.2270402
Mount Pleasant,35.399308,-80.4358963,99.8057691,2.2467788
Bear Grass,35.7662709,-77.1274582,99.8726749,2.0502442
Dover,35.216274,-77.436907,99.98566369,2.2907923
Gibson,34.7590477,-79.6106104,100.0892864,2.0617532
Harrells,34.727551,-78.20144639,100.3316595,2.014975913
Yadkinville,36.1345807,-80.6595079,100.3740818,1.8501153
Grimesland,35.5634956,-77.1921806,100.4819917,2.1882971
Beulaville,34.9237763,-77.7738667,100.5912342,2.2463303
Red Cross,35.2673659,-80.3556188,100.6476935,2.2984434
Lumberton,34.6183433,-79.0083993,100.8814381,1.6002465
Elizabethtown,34.6293372,-78.6052899,100.8940774,1.7093462
Oakboro,35.2257007,-80.3289521,101.0612538,2.3134419
White Lake,34.640449,-78.4838952,101.3746593,1.8196291
Mount Airy,36.4993297,-80.6071609,101.4099883,2.1625173
Greenevers,34.8223896,-77.9269273,101.4565179,2.1946564
Murfreesboro,36.4423754,-77.0985753,101.9041108,2.1336096
Teachey,34.7682241,-78.0080407,102.423575,2.1677085
Wadesboro,34.9681767,-80.07674,102.4386738,2.3187538
China Grove,35.569306,-80.5817318,102.4529303,2.2226163
Williamston,35.8546039,-77.0555114,102.6771225,2.033858
Boonville,36.2326362,-80.7081209,103.5085799,1.9967838
Locust,35.27267145,-80.43557137,104.2223305,2.373090416
Cleveland,35.7331953,-80.6770111,104.2631913,2.1540063
Landis,35.5456947,-80.6108998,104.5662897,2.2753956
Wallace,34.735724,-77.9952628,104.743831,2.2129865
Raynham,34.5766268,-79.1897486,105.03563,1.8233123
Morven,34.8640437,-80.0011724,105.2869752,2.3473192
Polkton,35.0076546,-80.2008947,105.2871957,2.4034306
Stanfield,35.2334772,-80.4270094,105.3007937,2.4037227
Hertford,36.3560545,-77.0115135,105.4304455,2.1343505
Dobson,36.3956891,-80.722567,105.95371,2.1742828
Bladenboro,34.5386768,-78.7875887,106.1504295,1.6177078
Ahoskie,36.2868223,-76.9846808,106.1957578,2.091951
McDonald,34.5541552,-79.175405,106.4261002,1.8314403
Cove City,35.1873837,-77.3207917,106.4632832,2.4357979
Chocowinity,35.5125955,-77.1009232,106.5534744,2.3304546
Kannapolis,35.4874708,-80.621438,106.6191789,2.3441577
Concord,35.4094178,-80.5800049,106.7223617,2.3807776
Harmony,35.9556911,-80.7717346,107.0229953,2.026234
McFarlan,34.8123776,-79.9758956,107.3119453,2.3737085
Windsor,35.9984925,-76.9460641,107.6978443,1.9994167
Como,36.5015414,-77.0094074,107.7335146,2.2819435
Askewville,36.1098801,-76.9399544,107.8512626,1.9597352
Peachland,34.993766,-80.2645069,108.5365594,2.4809314
Powellsville,36.225712,-76.9330114,108.6210167,2.0825101
Rowland,34.5365518,-79.2914306,108.8779907,1.9650693
Midland,35.2273656,-80.5006219,109.0063401,2.4834468
Washington Park,35.532663,-77.0324509,109.649294,2.3788594
Fairmont,34.4968311,-79.114202,109.8333276,1.8275614
Vanceboro,35.3084953,-77.1541195,109.9386567,2.4813585
Richlands,34.8993298,-77.5466343,110.1534411,2.4980092
Trenton,35.0636588,-77.3534758,110.2171446,2.5268387
Clarkton,34.4873922,-78.6561257,110.2364647,1.8004554
Winton,36.3957098,-76.9319035,110.2914985,2.2536158
Laurel Park,35.4067274,-80.65240472,110.4864299,2.455867821
Proctorville,34.4766061,-79.0363154,110.7491889,1.7698998
Cofield,36.3565436,-76.9099577,111.0193481,2.2363954
Jonesville,36.2393013,-80.8445152,111.1371482,2.1398432
Orrum,34.4658861,-79.0090289,111.3634994,1.7533333
Watha,34.6404453,-77.9608196,111.4771197,2.3427084
Elkin,36.2440516,-80.8507344,111.513107,2.1508127
Jamesville,35.8112719,-76.896616,111.9704871,2.2360854
Harrisburg,35.3258295,-80.6454979,112.6327317,2.5298589
Boardman,34.4390555,-78.949195,113.0184906,1.72033
Marshville,34.988486,-80.3670085,113.0409064,2.588713
Atkinson,34.5285008,-78.171107,113.7675477,2.2443655
Mooresville,35.5848596,-80.8100724,114.2524828,2.4354033
Unionville,35.0873694,-80.5089552,114.9236096,2.6317763
Statesville,35.7826363,-80.8872959,115.0957047,2.3148501
Troutman,35.7005832,-80.8882314,116.3349579,2.3978387
Ronda,36.218467,-80.9411859,116.4020275,2.2156796
Wingate,34.9843176,-80.4492319,116.7333044,2.6751048
Harrellsville,36.3026868,-76.7924773,116.9765017,2.300019
Colerain,36.201268,-76.7685616,117.661891,2.2225159
Burgaw,34.5521113,-77.926098,117.8042911,2.465764
Mint Hill,35.1735388,-80.6570377,118.4618361,2.6936894
Pollocksville,35.0059914,-77.2210654,118.5423391,2.7169165
Beaufort,35.469331,-76.8927522,118.5647219,2.5818901
Marietta,34.3690764,-79.1221944,118.6284594,1.9633085
Love Valley,35.9898553,-80.988132,118.9422813,2.2084672
Cornelius,35.481705,-80.8590006,119.205185,2.5874861
River Bend,35.0690481,-77.146896,119.2244356,2.7280292
Plymouth,35.8668281,-76.7485555,119.6012772,2.3285897
Hemby Bridge,35.109955,-80.63993747,120.0553221,2.740172967
St. Helena,34.5177355,-77.91838105,120.1225241,2.507856753
Huntersville,35.4108278,-80.8429304,120.1853031,2.6422931
Whiteville,34.3387802,-78.7030721,120.1923186,1.902121
Gatesville,36.4085245,-76.75316166,120.24667,2.44517234
Lake Park,35.0859691,-80.6355536,120.7899518,2.759775
East Arcadia,34.382113,-78.3233353,120.8243364,2.238525
Chadbourn,34.3221129,-78.8269664,121.0043851,1.794894
Cerro Gordo,34.3221121,-78.9264156,121.0302207,1.814494
Monroe,34.9854275,-80.5495112,121.0566348,2.7742742
Stallings,35.1083615,-80.66355902,121.2249679,2.765388022
Trent Woods,35.0821039,-77.0863383,121.4949535,2.7755311
Sandyfield,34.3765573,-78.2969455,121.5822009,2.2704705
Fair Bluff,34.3134996,-79.0372544,121.958551,1.9339453
New Bern,35.1084931,-77.0441143,122.4495643,2.7913659
Maysville,34.9048814,-77.2313436,122.6119654,2.8077483
Jacksonville,34.7494749,-77.4208221,122.6235056,2.7736763
Bath,35.4771094,-76.8116045,122.6529612,2.6552594
Indian Trail,35.0768141,-80.6692352,122.717073,2.8026116
Lake Waccamaw,34.3190578,-78.5000088,122.9588493,2.1249067
Bridgeton,35.1215489,-77.02078,123.0618086,2.8016444
Matthews,35.1159532,-80.7224386,123.7200864,2.8166759
Bolton,34.3207243,-78.4019497,123.9038721,2.2212993
Columbus,34.2814497,-78.666593,124.3040542,1.9959306
Charlotte,35.2272086,-80.8430827,125.6887216,2.8260646
Wesley Chapel,35.0070935,-80.6745131,125.7568244,2.8776101
Edenton,36.057938,-76.6077213,126.4663543,2.278314
Washington,35.8725573,-76.6215245,126.6216167,2.4498915
Roper,35.8779766,-76.6151847,126.9294595,2.450812
North Wilkesboro,36.1584651,-81.1475841,127.7061994,2.3620759
Northwest,34.3129464,-78.1611077,128.0042346,2.4699192
Pantego,35.5890535,-76.6621569,128.2684692,2.6927629
Mineral Springs,34.9379274,-80.6686791,128.3855285,2.9409422
Wilkesboro,36.145965,-81.1606401,128.4112252,2.3626318
Aurora,35.3054322,-76.7886736,128.4180536,2.8498675
